university,publication_date,message,views,forwards
SPBU timetable,2025-03-07 14:34:02+03:00,"Группа ""__Ээ работай__"" не найдена!
Попробуйте ещё раз или воспользуйтесь навигацией с помощью команды /start:",0,0
SPBU timetable,2025-03-07 14:34:02+03:00,Ээ работай,0,0
SPBU timetable,2025-03-07 13:39:19+03:00,⚠ Произошла ошибка :(,0,0
SPBU timetable,2025-01-25 12:45:18+03:00,"Группа ""__24.М10-мм__"" не найдена!
Попробуйте ещё раз или воспользуйтесь навигацией с помощью команды /start:",0,0
SPBU timetable,2025-01-25 12:45:18+03:00,24.М10-мм,0,0
SPBU timetable,2025-01-25 12:44:51+03:00,"👨‍👩‍👧‍👦 Введите название группы:
 *️⃣ __например, 20.Б08-мм__",0,0
SPBU timetable,2025-01-25 12:44:50+03:00,/start,0,0
SPBU timetable,2024-08-24 13:30:26+03:00,⬇️ Выберите группу из списка:,0,0
SPBU timetable,2024-08-24 13:30:26+03:00,20.Б08-мм,0,0
SPBU timetable,2024-08-24 13:29:57+03:00,"Группа ""__24.М11-пу__"" не найдена!
Попробуйте ещё раз или воспользуйтесь навигацией с помощью команды /start:",0,0
SPBU timetable,2024-08-24 13:29:57+03:00,24.М11-пу,0,0
SPBU timetable,2024-07-02 11:45:33+03:00,"👨‍👩‍👧‍👦 Группа: **Группа 20.Б08-мм**
📆 Неделя: [01.07 — 07.07](https://timetable.spbu.ru/MATH/StudentGroupEvents/Primary/366150/2024-07-01)

🏖 Занятий на этой неделе нет",0,0
SPBU timetable,2024-07-02 11:45:32+03:00,"👨‍👩‍👧‍👦 Введите название группы:
 *️⃣ __например, 20.Б08-мм__",0,0
SPBU timetable,2024-07-02 05:22:06+03:00,/my_schedule,0,0
SPBU timetable,2024-07-02 05:21:45+03:00,/start,0,0
SPBU timetable,2024-02-08 17:26:49+03:00,"⚠ Превышено время ожидания ответа :(
🔄 Попробуйте снова❕",0,0
SPBU timetable,2023-12-18 19:06:35+03:00,20.Б08-мм,0,0
SPBU timetable,2023-12-18 19:06:27+03:00,"Группа ""__20.Б08-ми__"" не найдена!
Попробуйте ещё раз или воспользуйтесь навигацией с помощью команды /start:",0,0
SPBU timetable,2023-12-18 19:06:27+03:00,20.Б08-ми,0,0
SPBU timetable,2023-12-18 19:06:11+03:00,"👨‍👩‍👧‍👦 Введите название группы:
 *️⃣ __например, 20.Б08-мм__",0,0
SPBU timetable,2023-12-18 19:06:11+03:00,/start,0,0
SPBU timetable,2023-12-18 19:05:25+03:00,"👨‍👩‍👧‍👦 Группа: **Группа 20.Б08-мм**
📆 Неделя: [18.12 — 24.12](https://timetable.spbu.ru/MATH/StudentGroupEvents/Primary/334753/2023-12-18)",0,0
SPBU timetable,2023-05-16 03:42:29+03:00,20.Б08-мм,0,0
SPBU timetable,2023-05-16 03:42:19+03:00,"👨‍👩‍👧‍👦 Введите название группы:
 *️⃣ __например, 20.Б08-мм__",0,0
SPBU timetable,2023-05-16 03:42:19+03:00,/start,0,0
